Time,BM7,BM8,BM9,BM10
0.743,6,6,12,7
0.7438,3,9,2,4
0.7445,6,6,6,4
0.7452,8,7,8,4
0.746,6,6,7,5
0.7467,5,6,5,13
0.7668,5,7,8,7
0.7674,7,6,4,8
0.7682,3,9,6,4
0.769,7,5,8,11
0.7698,7,11,7,5
0.7705,10,7,6,3
0.7713,5,7,10,8
0.7721,6,6,8,5
0.7728,6,4,7,7
0.7735,9,10,5,7
0.7742,3,11,7,8
0.775,3,6,7,3
0.7757,6,6,6,2
0.7765,6,6,6,6
0.7774,4,7,10,5
0.7782,6,8,7,12
0.78,6,6,6,4
0.7808,8,9,9,4
0.7837,4,6,5,9
0.7863,6,8,3,8
0.7934,5,9,3,8
0.7941,6,7,5,6
0.7948,7,9,8,3
0.7955,1,9,5,8
0.7981,7,6,4,2
0.7992,10,9,7,8
0.7999,6,1,10,7
0.8006,7,10,4,7
0.8015,6,6,7,5
0.8023,10,7,6,3
0.803,5,4,11,5
0.8038,6,6,5,11
0.8044,2,7,8,7
0.8052,6,14,4,8
0.806,4,7,4,7
0.8066,6,6,9,8
0.8073,3,9,6,7
0.8081,3,10,6,3
0.8089,7,8,4,11
0.839,3,5,1,7
0.8398,7,4,4,5
0.8408,4,12,7,4
0.8416,6,10,6,11
0.8423,7,5,7,3
0.843,7,6,6,6
0.8437,7,10,8,8
0.8445,4,6,1,11
0.8457,5,7,6,6
0.8465,8,6,5,6
0.8476,4,5,10,4
0.8485,4,8,6,8
0.8492,8,6,4,7
0.8499,8,7,5,8
0.8506,5,8,7,3
0.8514,6,4,7,11
0.8521,4,9,8,6
0.8529,7,12,4,6
0.8537,7,10,9,6
0.8547,2,10,10,8
0.8556,5,7,8,6
0.8563,9,5,6,5
0.8571,5,10,7,7
0.8578,6,7,9,7
0.8585,6,7,5,9
0.8592,9,1,3,2
0.8599,6,3,4,6
0.8606,3,3,8,4
0.8613,2,3,3,3
0.8621,2,6,4,3
0.8628,5,3,3,2
0.8634,2,4,7,4
0.864,3,6,2,6
0.8647,3,4,5,5
0.8653,4,3,1,2
0.8661,3,4,6,7
0.8668,2,1,4,4
0.8676,2,4,4,5
0.8852,0,2,2,2
0.9138,0,2,4,0
0.9424,6,3,0,2
0.9711,1,2,2,0
0.9963,6,2,0,0
1.0244,4,2,1,0
1.0531,3,3,1,4
1.0856,2,4,5,4
1.1102,8,4,1,2
1.1389,5,0,4,4
1.1637,4,1,1,6
1.1924,3,4,0,0
1.2208,6,2,2,1
1.2496,4,7,0,5
1.2781,3,3,3,1
1.3029,3,2,6,5
1.3315,5,2,2,4
1.3602,7,7,2,4
1.3888,7,2,0,3
1.4175,5,5,3,0
1.4423,3,4,0,2
1.4708,8,0,1,6
1.4994,3,4,4,4
1.5281,4,5,3,0
1.5568,3,4,0,4
1.5853,6,2,0,3
1.6101,4,1,4,5
1.6386,3,4,1,6
1.6673,6,4,2,6
1.6976,6,2,1,7
1.7247,2,5,3,6
1.7501,1,3,3,6
1.7786,5,4,0,3
1.8066,4,2,2,5
1.8352,2,5,0,5
1.8638,3,4,1,6
1.8924,6,5,3,1
1.9173,4,7,2,5
1.9458,6,7,4,3
1.9745,2,4,4,7
2.0032,6,3,1,3
2.0318,2,4,5,4
2.0565,4,2,3,7
2.085,4,6,8,4
2.1137,2,2,5,2
2.1424,6,3,2,7
2.1711,5,1,6,8
2.1959,7,3,4,6
2.225,3,4,5,5
2.253,5,7,2,3
2.2817,7,2,6,5
2.3102,2,1,6,1
